,sentence,difficulty,predictions
414,La forêt leur donne du bois et du gibier.,B1,B1
415,Venez profitez du studio d'enregistrement et de la salle de répétitions !,B1,B1
416,"Mais pour les visiteurs et les professionnels, c'est également l'occasion de découvrir les dernières innovations, et surtout de goûter les créations des chefs pâtissiers et chocolatiers",B1,B2
417,"Les serveurs sont mal organisés, c'est dommage.",B1,B1
418,"C'est vraiment génial d'être en ville et d'avoir les monuments, les musées et la plage au même endroit",B1,A2
419,"Il n'a fallu que 12 ans, entre 1999 et 2011, pour que la population mondiale passe de 6 à 7 milliards d'habitants",B1,B1
420,Montrant un gentilhomme qui va et vient dans la salle comme s'il cherchait quelqu'un.,B1,B1
421,250 nouveaux talents seront sur le marché du travail d'ici la fin de l'année.,B1,B2
422,"Après un trajet en bus, il est heureux de retrouver la mer",B1,A2
423,Nous ne privons plus du bonheur de manger,B1,B1
424,"Dans le désert, tous les hommes n'ont pas la peau noire.",B1,B1
425,Je te souhaite également tout le meilleur pour cette nouvelle année !,B1,A2
426,Elle est vraiment contente que tu aies acccepté l'invitation.,B1,B1
427,"Quand je finirai ce travail, je partirai en Floride. Je fuirai l'hiver et les grands froids.",B1,B1
428,"Ce week-end on était à l'hôtel pour une réunion familiale, bon on hésite quoi, quand on croise les gens dans le couloir, on ne sait pas trop s'il faut porter le masque.",B1,B1
429,"""Je vous laisserai sortir seulement à condition que vous juriez solennellement que vous ne révélerez à personne où vous avez dormi, ni comment vous êtes entré dans la grotte aux serpents !"" dit le roi.",B1,B1
430,Elle serait partie en vacances.,B1,A1
431,Je mets tous mes efforts et toute mon énergie exclusivement dans le travail.,B1,B1
432,J'aimerais que tu fermes la fenêtre avant de partir.,B1,A2
433,Et la grande personne était bien contente de connaître un homme aussi raisonnable.,B1,B1
434,"Certains, comme les Bédouins, sont des Blancs à la peau mate et tannée par le soleil.",B1,B2
435,Comment vont les enfants ?,B1,A1
436,"Remarquez bien que les nez ont été faits pour porter des lunettes, aussi avons-nous des lunettes.",B1,B1
437,"Le berger pensa à sa femme, et descendit la montagne aussi vite que possible, car il avait peur d' être grondé parce qu'il était resté si longtemps absent.",B1,B1
438,"Équipé d'une caméra, d'un téléphone portable et d'un ordinateur, il aide le client à faire ses courses directement dans le magasin.",B1,B1
439,"Plus qu'à un changement de métier, c'est à un changement de vie auquel aspirent ces individus.",B1,B1
440,Et c'est ce plus qui nous différencie des autres écoles informatiques.,B1,B1
441,"Comme c'est proche de la maison, je peux y aller à pied, c'est très agréable",B1,A2
442,Elle est surprise que les étudiants soient toujours en retard.,B1,B1
443,"Quand il doit rencontrer un client important, Marc n'hésite pas à s'habiller sobrement",B1,B1
444,"En janvier dernier, j'ai voulu laisser un message sur le répondeur de mon frère.",B1,B1
445,"On a beau dire, mais la France ça reste quand même le pays des 400 fromages.",B1,B1
446,Il a précisé qu'il partait en vacances dès demain.,B1,A2
447,Il nous a indiqué qu'il avait fini son film hier et qu'il allait en commercer un nouveau dans deux semaines.,B1,B1
448,"Je l'aide en français et elle me donne un coup de main en anglais, parce que ce n'est pas ma matière préférée .",B1,A2
449,Ta soeur est venue hier nous rendre visite.,B1,A1
450,"Le télévendeur travaille à temps plein, à temps partiel ou en complément d'une autre activité.",B1,B2
451,"On ne peut pas tout faire pendant les heures de cours, ce qui me pose un problème, en vue de la journée scolaire.",B1,B1
452,"À mon avis, il faut s'entraîner et se préparer aussi bien que possible pour les épreuves de toutes sortes.",B1,B1
453,C'est une manière de découvrir un endroit en évitant les lieux touristiques et en respectant le milieu naturel.,B1,B1
454,"Cette situation pourrait laisser croire qu'il y a un retard dans l'apprentissage d'une des deux langues, mais quand on étudie le vocabulaire des enfants bilingues et monolingues à trois ans, on trouve le même nombre de mots, en moyenne.",B1,B2
455,Tu as continué à penser à ton amant disparu.,B1,B1
456,"En chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux.",B1,B2
457,Les membres sont au nombre de quatre,B1,A1
458,"La méchante femme n'y retournera sûrement pas."" Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.",B1,B1
459,Essayez maintenant d'identifier les mots de vocabulaire dans l'histoire en l'écoutant à nouveau.,B1,B1
460,"C'est donc une méthode qui suppose une capacité d'écoute, de réflexion et une bonne disposition d'esprit.",B1,B1
461,"Et pour l'Europe, et bien pour l'Europe, c'est la française Claire Nouvian qui a été récompensée pour son combat au sein de son association Bloom, créé en 2005, pour préserver la biodiversité de l'océan",B1,B2
462,"Trop souvent le tourisme est une cause de dégradation de l'environnement ou de désorganisation d'une société traditionnelle alors que le voyageur doit être à l'écoute, tolérant et s'adapter à la vie locale.",B1,B2
463,"Les gens voulaient fuir le monde, et généralement, là où il y avait beaucoup de monde, c'était les destinations sud.",B1,B1
464,La femme faisait tout ce que son mari lui demandait.,B1,B1
465,Ce chien m'apporte beaucoup de bonheur.,B1,A2
466,Quelle est la plus belle qualité de la femme d'Azaël ?,B1,A2
467,"Oui, nous allons bien.",B1,A1
468,"""J'ai vraiment dû beaucoup insister pour être choisi ! rapporte Monsieur.",B1,B1
469,Il y a douze milles entre la cabane du pêcheur et la ville.,B1,A2
470,Le réalisateur m'a expliqué qu'il avait longtemps cherché l'acteur idéal.,B1,B1
471,Il fait un froid incroyable à Moscou mais la ville est superbe,B1,B1
472,"Enfin, il faut savoir que l'éducation complète d'un chien guide coûte très cher et qu'en France, les dix écoles sont entièrement financées par des dons.",B1,B2
473,"Un ange de l'hospitalité, envoyé par le prophète vient sauver le pacha.",B1,B1
474,Il est impératif de tenir votre chien en laisse lorsque vous le promenez.,B1,B1
475,Le pacha vient en aide à un serpent (le roi des serpents) car l'un des commandements du Coran est de faire preuve d'hospitalité ses hôtes.,B1,B1
476,"En Amérique du Nord, LeeAnn Walters, une femme au foyer, a été distinguée pour avoir créé un mouvement citoyen qui a permis de révéler la crise de l'eau contaminée de Flint dans le Michigan",B1,B2
477,Nous avons reçu plusieurs plaintes à ce sujet.,B1,B1
478,"Les piscines partagées par exemple ou ce genre de chose, là je me suis dit, cet été, bof quoi.",B1,B1
479,"""La batterie est en dessous du niveau nécessaire pour faire fonctionner l'ordinateur central"", a dit M. Ulamec.",B1,B1
480,"Il savait déjà qu'il faut éviter les aliments grossiers, les lourdes venaisons et les boissons fermentées ; il connaissait aussi l'influence bienfaisante des bains fréquents, qui gardent la peau saine et reposent des fatigues.",B2,C2
481,"Il décrivait aussi les longues arènes entourées de gradins où s'exerçaient les jeunes hommes, le labeur patient par lequel ceux-ci se préparaient aux jeux, et les soins incessants qui, après de longues années, leur méritaient les odes des poètes, les acclamations de la foule et les honneurs des cités.",B2,C2
482,"Alors après, on va bien distinguer dans les dettes : les dettes publiques, privées, multilatérales.Voilà, parce que de quelles dettes parle-t-on ?",B2,B2
483,La communauté scientifique apprécie peu la présence de femmes.,B2,B2
484,"Ces gens cultivaient leurs terres, élevaient des troupeaux, obéissaient aux usages, aimaient et mouraient selon la loi commune.",B2,C1
485,"Autrement dit, avoir une ""vraie"" vie sociale satisfaisante conduirait à passer moins de temps sur les réseaux sociaux.",B2,B2
486,"Il n'y a là rien d'impossible, estime un député, 75 % des déplacements domicile-travail font aujourd'hui moins de 5 km et 70 % de ces trajets sont faits aujourd'hui en voiture.",B2,B1
487,"700 000 tonnes de couches usagées sont jetées chaque année au Japon, ce qui représente jusqu'à 25 % des déchets incinérés dans certaines communes.",B2,B2
488,"Ce précieux instrument, d'origine américaine, envoyait, sans se gêner, un projectile conique de quatre kilogrammes à une distance moyenne de seize kilomètres.",B2,C1
489,Ces chiffres sont susceptibles de varier au cours de cette année.,B2,B2
490,On semble oublier que le personnel en milieu scolaire applique déjà cette mesure.,B2,B2
491,"Grâce à l'intervention de monsieur Ibrahim, le monde des adultes s'était fissuré, il n'offrait pas le même mur uniforme contre lequel je me cognais, une main se tendait à travers une fente.",B2,B2
492,L'anecdote est révélatrice.,B2,B2
493,Les préadolescents et adolescents semblent particulièrement sensibles.,B2,B2
494,La pudeur vous défend de voir ma lame nue ?,B2,B2
495,Il plut toute la nuit et le vent souffla sans cesse contre les carreaux de la ville demeure.,B2,B2
496,L'accès par voie électronique de l'ensemble des formalités au registre du commerce et des sociétés.,B2,B2
497,"Ce constat est simple : la collecte des informations étant désormais, en grande partie, confiée aux ordinateurs, pourquoi demander aux élèves de mémoriser par coeur des données que l'on peut relativement facilement retrouver sur l'internet ?",B2,B2
498,"Liberté privée, ordre public: telle est l'équation fétiche des Français.",B2,C1
499,"Les masses liquides transportent les plus grandes espèces connues de mammifères, et peut-être recèlent-elles des mollusques d'une incomparable taille, des crustacés effrayants à contempler, tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes !",B2,C2
500,Il arrive que le portable brise les amitiés entre jeunes.,B2,B1
501,"Les reliures de tons différents, rouges, jaunes, vertes, violettes, et bleues, mettaient de la couleur et de la gaieté dans cet alignement monotone de volumes.",B2,C1
502,Nous proclamerons notre indépendence dès que l'armistice sera signé.,B2,B2
503,La compétence fiscale des communes est réduite car elle dépend du droit cantonal.,B2,C1
504,"Pourtant, sur cette distance, le vélo est le mode de transport le plus performant en milieu urbain et semi-urbain.",B2,B2
505,"Le petit prince grandit en paix, entouré de tuteurs et de régents ; mais son plus intime ami et son meilleur conseiller fut un étranger, venu longtemps auparavant des contrées du Sud, qui s'étendent le long de la mer.",B2,B2
506,Pour preuve : les Bédouins ont fait du thé à la menthe brûlant un véritable rituel et en consomment plusieurs fois par jour.,B2,B2
507,"Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l'Agence de l'environnement et de la maîtrise d'énergie (Ademe).",B2,B2
508,Les micro-changements apportés par ce type d'union sont capables d'annoncer de profonds changements sociaux.,B2,B2
509,"Les fans des costumes de Carrie Bradshaw dans ""Sex and the City"" se régaleront devant les tenues d'Emily, de la même créatrice, Patricia Field (même si on lève les yeux au ciel quand Emily se met à porter des bérets).",B2,B2
510,"C'est l'année où les centaines de milliers de baby-boomers, nés lors du pic des naissances de 1946, arriveront à la retraite.",B2,B2
511,"Le robot Philae s'assoupit sur la comète ""Tchouri"", après une mission historique qui a tenu en haleine et permis de récolter des données qui pourraient aider à comprendre les origines de la vie sur Terre.",B2,B2
512,Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,B2,B2
513,"De quelles huées gouailleuses, de quelles curiosités grossières n'êut-il pas été l'objet et la victime!",B2,C2
514,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2,B2
515,Les adaptations cinématographiques détruisent l'image fictive donnée par les oeuvres littéraires.,B2,C2
516,"Encore faut-il réfléchir aux changements lourds induits par ces nouvelles technologies sur le plan social, politique, collectif.",B2,B2
517,"Ils attaquèrent la forêt tous ensemble, travaillant jour et nuit et frappant avec tant de force que le heurt de leurs cognées sur les troncs emplissait les plaines comme un grondement incessant de tonnerre.",B2,C1
518,Presque tous les jeunes déclarent aimer leur collège ou leur lycée.,B2,B2
519,"Stop : tout d'abord, figurez-vous que les vrais nouveaux pères n'ont aucune envie d'être appelés comme cela.",B2,B1
520,Nous assistons à la montée des médicaments génériques et il devient difficile de renouveler les produits.,B2,B2
521,De nombreux opposants au projet se sont rassemblés en dépit de l'interdiction de manifester.,B2,B2
522,Ne vont-ils pas accaparer les affaires publiques à leur avantage ?,B2,B2
523,Les professeurs d'anglais préparent des cours sur le sujet et participent à sa diffusion auprès de la jeunesse,B2,B2
524,"Aussitôt que le registre du commerce aura reçu le dossier de modification, la plate-forme vous enverra une réponse électronique appelée accusé de réception .",B2,B2
525,"Les broches également, très pratiques aussi, en les accumulant, et les petits boléros par-dessus",B2,B2
526,"De plus, certaines limitations sont également apparues, en termes de puissance ou bien de permis de conduire.",B2,B2
527,Carlos Ghosn sera-t-il le dernier protagoniste de sa folle escapade à demeurer hors d'atteinte de la justice ?,B2,B2
528,Un allongement du congé paternité peut contribuer à introduire plus d'égalité dans les couples.,B2,B2
529,"De plus, les agences nationales réglementaires de notre pays exigent de nous davantage de qualité, de sécurité et de fiabilité.",B2,B2
530,"Même si on adore un livre, il faut, je pense, accepter que certains passages du livre soient coupés ou modifiés, car le travail d'écriture est complètement différent du travail d'adaptation cinématographique.",B2,B1
531,"Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin",B2,B1
532,"L'avantage des galeries, c'est qu'elles sont souvent gratuites contrairement aux musées dont l'entrée est souvent payante.",B2,B1
533,"Durant les années 1990, beaucoup de gens étaient réticent à cette nouvelle fête : Les parents et les enseignants n'y voyaient qu'une fête commerciale",B2,B2
534,"En raison de la sécheresse qui a réduit les récoltes, le même gouverneur Bradford proclame une journée de jeûne et de prière",B2,B2
535,Un jeune Enfant dans l'eau se laissa choir en badinant sur les bords de la Seine.,B2,B2
536,Claude HAGÈGE est Professeur au Collège de France et Directeur d'études à l'École Pratique des Hautes Études,B2,C1
537,"Dans sa tête, le bruit de bottes des soldats allemands résonna.",B2,B2
538,"Ton direct et souvent bougon pour Joe Manchin, 73 ans, et discrétion médiatique contrastant avec les perruques et tenues colorées de Kyrsten Sinema, 44 ans, première candidate au Sénat ouvertement bisexuelle en 2018.",B2,C1
539,"Si vous étiez arrivés à l'heure comme convenu, vous auriez vu le début du reportage auto-biographique sur l'auteur contemporain le plus convoité du moment.",B2,C1
540,Une perspective quasi inconcevable dans un Congrès aussi divisé.,B2,C1
541,"Et comme elle était, à ses débuts, utilisée sur les trottoirs, elle a occasionné de nombreux accidents",B2,B2
542,"Si vous aviez cherché ces dossiers, vous les auriez trouvés.",B2,B2
543,"Quand elle est élevée, la FOMO est souvent associée à une humeur très fréquemment négative, une faible satisfaction de sa vie en général et à plus de symptômes dépressifs.",B2,C1
544,"Ce qui équivaut à dire que si vous pouviez atteindre cette profondeur dans l'océan, chaque centimètre carré de la surface de votre corps subirait une pression de mille kilogrammes.",B2,B2
545,"Il apprit à courir, à lutter, à sauter, à lancer au loin de lourdes pierres, à franchir les murs, à frapper des deux mains, à dresser de jeunes chevaux, à franchir à la nage les rivières.",B2,B2
546,"Pour éviter un oubli, vous pouvez consulter le ""Guide des formalités"" en ligne.",B2,B2
547,"À chaque respiration elle sentait la fumée entrer dans ses poumons, tel un insidieux poison.",B2,B2
548,Les parents qui ont du mal à couper le cordon s'étonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels.,B2,B1
549,"Les enseignants qui sont en classe inversée, ils parlent à tous leurs élèves, tous les jours.",B2,B2
550,"En attendant, de petites formations d'initiation à l'algorithmique et au langage informatique ont été réalisées pour les professeurs des écoles et des collèges, les inspecteurs et les formateurs d'IUFM (Institut Universitaire de Formation des Maîtres).",B2,C1
551,"Les grainetiers, les grands grainetiers québécois n'ont plus de stock, et donc l'approvisionnement est rendu difficile.",B2,B2
552,James a ensuite rejoint le quartier moderne de la Confluence où le fleuve de la Saône se jette dans le Rhône,B2,B2
553,"C'est très important, surtout dans une dynamique d'innovation dans laquelle travaille typiquement une équipe de développement de voir, en tant que manager, que les personnes en face s'expriment indépendamment, offrent leurs pistes d'amélioration sur leur travail au quotidien.",B2,B2
554,"C'est pourquoi, si près de 50 % de nos essais sont sous-traités, nous gagnerons en souplesse et éviterons la baisse momentanée de nos effectifs.",B2,B2
555,Il est tombé malade l'année précédant son mariage.,B2,B1
556,Le spectacle était épouvantable et charmant.,B2,B1
557,"Les tentes des nomades offrent un asile tempéré, à condition d'être ouvertes pour favoriser l'installation d'un courant d'air qui évacue la chaleur.",B2,B2
558,Il y a essentiellement trois grandes catégories.,B2,B1
559,Un journaliste de Art Press a interviewé Agathe sur la performance dans laquelle elle a participé.,B2,B2
560,"La tradition nord-américaine veut qu'on se retrouve en famille pour manger une dinde farcie accompagnée d'une purée de pommes de terre, de patates douces, d'une gelée de canneberges et une tarte à la citrouille",B2,B2
561,"Ce dernier lui décrit sa patrie dans les contrées du sud, il lui parle des coutumes, des traditions de son peuple.",B2,B1
562,"Si elle avait un caractère plus commode, elle nouerait plus d'amitiés sincères.",B2,B2
563,"À mi-parcours, il doit souvent faire demi-tour.",B2,B1
564,"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dansles rayons.",B2,B2
565,Ces gens vivent en autarcie totale.,B2,B2
566,"Pour ses défenseurs, le projet pourrait permettre d'adapter les pratiques scolaires au monde professionnel.",B2,B2
567,Je travaille dans une compagnie d'assistance médicale en tant que médecin consultant pour la partie Asie-Pacifique.,B2,B2
568,Il a également la possibilité de verser des indemnités kilométriques à ceux qui utilisent leur véhicule personnel pour se rendre au travail.,B2,B1
569,"Quant à ma grande passion, l'art contemporain, elle est née lors d'une visite au musée d'art moderne de New York, puis de la ""Phillips Collection"" à Washington DC quand j'avais 18 ans.",B2,B2
570,Le temps est loin où les explorateurs découvraient des îles désertes avec des plages de sable fin.,B2,B2
571,"La trottinette électrique est aussi limitée aux pistes cyclables ou sur la chaussée, entraînant des conflits avec les cyclistes et les automobilistes",B2,B2
572,"Si tu étais moins bavard, les gens te confieraient plus de secrets intimes et confidentiels.",B2,B2
573,"La construction de routes et d'infrastructures dans les forêts entraîne le plus souvent un afflux de population incontrôlable, ce qui ne fait qu'accroître le déboisement.",B2,B2
574,"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dans les rayons",B2,B2
575,"Des balades sur les quais de Seine jusqu'au pont des Arts, des pauses déjeuner au jardin du Luxembourg, des plans de la tour Eiffel et de l'Opéra Garnier : les décors de la série ""Emily in Paris"" semblent tout droit tirés d'un guide touristique.",B2,C1
576,"À 40 ans, il est usé",B2,B1
577,"À cette occasion, a été annoncé un grand plan vélo destiné à faire décoller enfin ce mode de transport, notamment grâce à l'indemnité kilométrique : ce dispositif autorise l'employeur à dédommager ses salariés se rendant au travail à vélo (environ 0, 25 euro par kilomètre parcouru).",B2,B2
578,"Nous sommes pris en otages par des imposteurs, par des maniaques du pré-cuit et de la vinaigrette en sachet !",B2,B2
579,"Elle était demeurée jusqu'à douze ans dans la maison, puis, malgré les pleurs de la mère, elle fut mise au Sacré-Coeur.",B2,B1
580,Le vernissage aura lieu le 22 juin à la Galerie de la Calande.,B2,B2
581,"Une fois franchi le seuil de l'entrée, on peut apercevoir, dans un coin, un tas de chaussures sombres, puis, tel un arc-en-ciel, une rangée de téléphones portables.",B2,B2
582,Certains se défendront en citant la nouvelle cuisine censée jadis révolutionner nos habitudes.,B2,C1
583,"""Prince, dirent-ils, la forêt est trop sauvage et trop grande : aucun homme ne pourrait pénétrer jusqu'à son coeur.",B2,B2
584,"L'ambitieux a les dents longues mais pour réussir, les ambitieux doivent être prudents et persévérants sinon ils peuvent se casser les dents.",B2,B2
585,"Du surgelé, du réchauffé, du périmé et pire encore : de l'industrialisé se faisant passer pour du traditionnel !",B2,B2
586,"Et puis la France, comme la plupart des pays du monde, doit importer les matières premières inexistantes sur son sol et ne fabrique plus la totalité des produits sur son territoire",B2,B2
587,La multiplication des nouvelles technologies va-t-elle nous faire perdre la tête?,B2,B2
588,Il a dérivé pendant deux jours avant d'être secouru.,B2,B1
589,"En effet, sitôt rentrés chez eux, Vanessa, 14 ans, Raphaël, 16 ans, Marie, 44 ans, et Patrick, 45 ans, branchent les petites boîtes colorées afin de les recharger.",B2,B2
590,"Outre les économies substantielles que permet une telle collaboration, les entreprises bénéficient désormais de jeunes formés à leurs besoins spécifiques.",B2,B2
591,Mais pas en proposant des portions microscopiques présentées de manière pompeuse.,B2,C1
592,C'était avec ravissement que la comtesse retrouvait les souvenirs de sa première jeunesse et les comparait à ses sensations actuelles.,B2,C1
593,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2,B2
594,Il commence même déjà à dater.,B2,B1
595,Une deuxième balle fit étinceler le pavé à côté de lui.,B2,B2
596,"Un lundi, Franck et Guillaume, qui travaillaient tous les dimanches comme extras dans un autre restaurant sur l'avenue, se sont rendus au chevet de leur grand-mère",B2,B1
597,Leur capacité de concentraction s'effiloche.,B2,B2
598,"Au collège et au lycée, on pratique l'art de la conversation, celui de la complicité, des petites passions partagées dans un sentiment de légèreté et d'insouciance puisque rien n'est définitif.",B2,C1
599,Ces espérances l'avaient rendu très indulgent pour beaucoup de fautes que j'avais commises.,B2,C2
600,"Les Français ne cèdent pas au chacun pour soi, mais ils s'intéressent d'abord à leur cercle familial proche.",B2,B2
601,J'aurais voulu pouvoir quitter le bureau à 13h.,B2,A2
602,La prolifération de la culture sur brûlis a largement dégradé la forêt ivoirienne alors que le Gabon a plus à craindre de l'ouverture de son couvert forestier à l'exploitation industrielle du bois.,B2,B2
603,Le revenu des enfants sous autorité parentale est ajouté à celui du détenteur de l'autorité parentale.,B2,B2
604,"Par exemple, porter une robe noire avec un foulard de couleur vive, fuschia ou orange ou rouge ou vert, et deux jours après, vous remettez cette robe noire avec d'autres bijoux, un gros collier",B2,B1
605,Vous procéderez au paiement sécurisé en ligne de l'opération.,B2,B2
606,"Même si la Révolution française était déjà en cours, la prise symbolique de la Juillet forteresse, qui ne comptait que 7 prisonniers à l'époque, reste l'événement clé de la révolte",B2,B2
607,Soyons sérieux,B2,B2
608,"Pour compenser les pertes d'eau par transpiration, il faut se réhydrater en continu : dans le désert, il peut être nécessaire de boire jusqu'à 10 litres d'eau par jour.",B2,B2
609,"Beaucoup voient leur nid familial sous un nouveau jour : ""Les appartements parisiens des arrondissements historiques sont peut-être plein de charme, mais ils sont surtout trop petits"", se moque le Wall Street Journal.",B2,B2
610,"Depuis 2006, les particuliers français peuvent recycler des déchets d'équipements électriques et électroniques grâce à la reprise un pour un .",B2,B2
611,"Si nous sommes bloqués dans l'ascenseur qui s'est arrêté brusquement, nous appellerons du secours dès que la communication sera établie.",B2,B1
612,"Si elle avait étudié davantage, elle aurait pu réussir l'examen.",B2,B2
613,Et chaque hiver constitue une nouvelle menace.,B2,B2
614,"C'est le principe de responsabilité élargie du producteur, initié par la directive européenne de 2003, qui leur impose de prendre en charge la fin de vie de leurs appareils.",B2,B2
615,Le 24 décembre est le jour du réveillon,B2,A1
616,Il n'y a qu'à observer la métamorphose des rues commerçantes pouren être convaincu.,B2,B1
617,"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2,B2
618,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,B2
619,"Colette eut des funérailles nationales lors de sa mort en 1954 et est enterrée auprès de sa fille, au cimetière du Père-Lachaise à Paris.",B2,B2
620,"Déjà, les problèmes s'accumulent.",B2,B2
621,"Pour notre entreprise, externaliser, c'est se concentrer sur nos activités principales, recherche et commercialisation, que nous maîtrisons parfaitement et faire réaliser par des intervenants extérieurs les activités de production et les essais cliniques.",B2,C1
622,"Une conversation normale se fait à 60 dB, tandis que le bruit du vent dans les arbres atteint les 20 dB.",B2,B1
623,"Le gouverneur de la colonie, William Bradford, décida alors de proclamer un jour de remerciement et d'action de grâce pour remercier Dieu de leur avoir donné une terre finalement si accueillante avec des indigènes si serviables",B2,B2
624,Cela lui paraissait invraisemblable.,B2,B2
625,"Finies les façades grises et ternes, terminée la morosité ambiante : les rues se parent de guirlandes scintillantes et les vitrines rivalisent d'imagination pour leur décoration.",B2,B2
626,"Le jeune prince ne se lassait pas de redemander ces récits, et l'étranger ne pouvait se lasser de les répéter, évoquant à ses yeux les corps frottés d'huile, tordus dans l'horreur de la lutte ou se ramassant pour la détente, la foule ondulant au soleil, les pieds nus volant sur le sable.",B2,C1
627,"Com' est l'abréviation de communication, de commandant, de communion, de commerce - le petit com du coin, ainsi de suite.",B2,C1
628,"À cette occasion, a été annoncé un grand plan vélo destiné à faire décoller enfn ce mode de transport, notamment grâce à ""l'indemnité kilométrique"".",B2,B2
629,"Les appareils pouvant être recyclés à 85% de leur poids environ, l'enjeu est important.",B2,B2
630,"Ils sont tolérants et compréhensifs, à condition que les enfants réussissent leurs études.",B2,B2
631,"Finies les façades grises et ternes, terminée la morosité ambiante",B2,C1
632,"Aux États-Unis, on fêtera Thanksgiving le quatrième jeudi de novembre",B2,B2
633,Les retraités sont sur-représentés dans l'électorat français par rapport aux autres tranches d'âge.,B2,B2
634,"Fini les pâtes à l'italienne, les gros haricots blancs, les pommes de terre en robe des champs avec du beurre et du bon pain frais.",B2,B2
635,Les usines sont situées à Mattighofen au nord de Salzbourg.,B2,B2
636,"Toniques, les papy-boomers sont formatés pour le changement.",B2,B2
637,"Soumis à des persécutions en raison de leur confession protestante, ils espèrent pouvoir vivre leur foi librement",B2,C1
638,"Créatrice d'emplois, la filière permet aussi de rééquilibrer une balance commerciale souvent désavantageuse, tout en diversifiant les activités locales.",B2,B2
639,"Caterina serait, selon la tradition, fille de paysans pauvres.",B2,B2
640,"Après lui avoir fait faire une bonne lieue, à pied, dans l'obscurité rendue plus profonde en apparence par le feu des bivouacs qui de toutes parts éclairaient l'horizon, l'adjudant remit Fabrice à un officier de gendarmerie qui, d'un air grave, lui demanda ses papiers.",C1,C1
641,"En clair, les adolescentes souffrent d'un complexe d'infériorité par rapport à leurs comparses masculins, comme l'a montré cette sociologue de l'éducation dans un ouvrage de référence, L'Ecole des filles (L'Harmattan).",C1,C1
642,"Ce système s'inspire de celui contre la désinformation liée aux élections et processus civiques, qui a notamment conduit Twitter à bannir l'ancien président américain Donald Trump.",C1,B2
643,"Exilée en permanence, je passe mes nuits à souder les rails qui mènent à l'identité.",C1,B2
644,Mais les pays les plus défavorisés voient leur situation alimentaire se dégrader inexorablement.,C1,B2
645,Un débat public et démocratique est donc nécessaire!,C1,B2
646,"Observant que, à l'exception du changement de mode de scrutin pour les communes dont la population est comprise entre 2 000 et 3 500 habitants, le texte issu des travaux de l'Assemblée nationale avait recueilli une approbation presque unanime de tous les groupes de cette assemblée, le rapporteur a souhaité rappeler que la démarche suivie par les députés, consistait à mettre en oeuvre des solutions permettant d'optimiser la présence des femmes dans la vie politique.",C1,C1
647,Des start-up développent des solutions sur le thème de la reconnaissance temps-réel de formes dans une vidéo.,C1,B2
648,"Un jour, Cunégonde, en se promenant auprès du château, dans le petit bois qu'on appelait parc, vit entre des broussailles le docteur Pangloss qui donnait une leçon de physique expérimentale à la femme de chambre de sa mère, petite brune très jolie et très docile.",C1,B2
649,Les Inuits espèrent pouvoir s'appuyer sur un rapport qui sera remis en septembre 2004 aux huit pays du Conseil de l'Arctique.,C1,B2
650,On préférait se référer à l'autonomie des civilisations juxtaposées.,C1,C1
651,"A 50 ans, on est vieux pour l'entreprise, tranche la chasseuse de têtes Catherine Euvrard, sexa survitaminée.",C1,C1
652,Ça a développé je pense instinctivement et naturellement ma créativité en cuisine,C1,C1
653,"Des réseaux nationaux, puis internationaux, se sont créés pour fournir des informations à leurs membres, préparer des campagnes de sensibilisation, voire faire du lobbying.",C1,B2
654,"Telle est du moins la représentation métaphorique qu'on s'en fait dans la culture populaire afghane, entre soeurs, copines ou voisines, à l'abri des oreilles masculines indiscrètes.",C1,C2
655,"Honte de devoir leur amour à ma beauté, mon écoeurante beauté qui fait battre les paupières des chéries, ma méprisable beauté dont elles me cassent les oreilles depuis mes seize ans.",C1,C2
656,"Ensuite, nous sortions pour notre promenade au parc, où nous retrouvions quelques amis",C1,B2
657,La durée de retention des données peut être fixée par des réglementations sectorielles.,C1,C1
658,"Elle se retrouvait dans les lectures de sa jeunesse, en plein Walter Scott.",C1,B2
